TERM,DEFINITION
SWORD,"The sword is in essence composed of a blade and a guard; it is therefore a symbol of “conjunction,” especially when in the Middle Ages it takes on the form of a cross. Among many primitive peoples it was the object of much veneration. The Scythians used to make an annual sacrifice of several horses to the blade of a sword which they conceived as a god of war. Similarly the Romans believed that iron because of its association with Mars was capable of warding off evil spirits (8). The belief still persists in Scotland (21). Founders of cities in the ancient Che-King tales of China wear swords (7). As a religious symbol it is still in use as part of the ceremonial dress of oriental bishops. Its primary symbolic meaning however is of a wound and the power to wound and hence of liberty and strength. Schneider has shown that in megalithic culture the sword is the counterpart of the distaff which is the feminine symbol of the continuity of life. The sword and the distaff symbolize respectively death and fertility—the two opposites which constitute the basic symbolism of the mountain (Schneider suggests that in the animal world the equivalents are the phallic fish and the frog) (50). Furthermore given the cosmic sense of sacrifice (that is the inversion of the implied realities of the terrestrial and the celestial orders) the sword is then seen as a symbol of physical extermination and psychic decision (60) as well as of the spirit and the word of God the latter being a particularly common symbol during the Middle Ages (4). In this connexion Bayley draws attention to the interesting relationship between the English words sword and word. There can be no doubt that there is a sociological factor in sword-symbolism since the sword is an instrument proper to the knight who is the defender of the forces of light against the forces of darkness. But the fact is that in rites at the dawning of history and in folklore even today the sword plays a similar spiritual rôle with the magic power to fight off the dark powers personified in the “malevolent dead,” which is why it always figures in apotropaic dances. When it appears in association with fire and flames—which correspond to it in shape and resplendence—it symbolizes purification. Schneider bears this out with his comment that whereas purification goes with fire and the sword punishment goes with the lash and the club (51). In alchemy the sword is a symbol for purifying fire. The golden sword—Chrysaor in Greek mythology—is a symbol for supreme spiritualization (15). The Western type of sword with its straight blade is by virtue of its shape a solar and masculine symbol. The Oriental sword being curved is lunar and feminine. Here one must recall the general meaning of weapons which is the antithesis of the monster. The sword because of its implication of “physical extermination,” must be a symbol of spiritual evolution just as the tree is of involution; that is the tree stands for the development of life within matter and activity. This dualism between the spirit on the one hand and life on the other was resolved by Ludwig Klages for his part by opting for life but Novalis has well expressed the contrary opinion with his observation that “life is an infirmity of the spirit.” It is a duality which is well illustrated by the opposing characteristics of wood (which is feminine) and metal. If the tree corresponds to the process of proliferation then the sword represents the inverse. At least Conrad Dinckmut’s Seelen Wurzgarten (Ulm 1483) like many other similar works has a 15th-century illustration of Christ with a branch or a tree on the left side of his face whereas symmetrically opposite there is a sword. This association of the sword with the tree is of great antiquity: we ourselves have seen a prehistoric Germanic relief depicting two figures one being feminine and bearing a branch the other masculine with a sword. One may also see here an allegory of War and Peace; certainly the mediaeval illustration may allude to the olive branch but there is nothing of this in the Germanic relief. Evola maintains that the sword is related to Mars but with additional vertical—and horizontal—symbolisms alluding that is to life and death. It is also linked with steel as a symbol of the transcendent toughness of the all-conquering spirit. To quote from Emilio Sobejano Swords of Spain in Arte Español XXI (1956): “Among the Germanic races as Livy observed the sword was at no time very common; on the contrary it served as a symbol befitting high command and the loftiest rank; one only has to think of the dignity and pomp which characterized the institution of the Comes Spatharius created by the Emperor Gordian the Younger around the year 247. . . . The sword is almost exclusively the prerogative of high dignitaries. There is an Arabic tradition to the effect that it was the Hebrews who invented the sword and that the place where it was first made—a tragic sign of how the idea first came into the world—was mount Casium on the outskirts of Damascus which was to become famous throughout Islam on account of its steel and where according to the ancient belief Cain slew his brother. There by an accident of fate settled the first artificers of the newly invented weapon.” The sword of fire bears testimony to the intrinsic relationship between the symbols of the sword steel (or iron) Mars and fire all of which have a “common rhythm.” On the other hand it emphasizes the heat of the flame and the coldness of the bare metal; hence the sword of fire is a symbol implying an ambivalent synthesis like the volcano (gelat et ardet) and also a symbol of the weapon which severs Paradise (the realm of the fire of love) from earth (the world of affliction)."
SWORD BROKEN,"Because the sword symbolizes spiritual aggression or a hero’s courage the broken sword is a symbol of those qualities being in a state of destruction. Nevertheless like the “buried sword,” it is more likely to appear in mediaeval legends as an inheritance which has to be reconquered by personal valour. Thus as a youth Siegfried discovers the pieces of the sword Balmunga which Odin was said to have given to his father Siegmund. Mime the blacksmith was unable to reforge it but Siegfried succeeds in doing so. In the epic entitled “Gawain-poems” in the Arthurian cycle (Jean Marx Nouvelles Recherches sur la littérature Arthurienne Paris 1965) Gawain is given a broken sword which he is unable to repair completely symbolizing his inability to penetrate to the “centre” of his undertaking."
SWORD UNSHEATHED,In certain Nordic legends and books of Chivalry and even the poems of Tennyson the hero places an unsheathed sword on the bed between him and his beloved. Borges in his book Ancient Germanic Literatures says that in this case the sword symbolizes the hero’s honour and the spiritual strength (expressed by the sword) that makes him capable of renunciation.
SYBIL,A figure of antiquity which reappears in mediaeval literature and iconography symbolizing the intuiting of higher truths and prophetic powers.
SYMMETRY,This is equivalent to achievement crowning triumph and supreme equipoise (as in the caduceus the reliefs of Naksh-i-rustam and in heraldic shields).
TALISMANS,Talismans and amulets have existed since remote Antiquity and were already in appearance in Mesopotamia and Egypt in the 3rd millennium. Obviously prehistoric elements exist that can or must be interpreted in this sense which makes a summarized account of the contents and shapes of amulets and talismans through history an impossible task here. Instead we offer information on two important works that look closely into these objects that were used with magical intentions: Jean Marès-Rivière’s Amulettes talismans et pentacles (Paris 1950) and Amulette und Talisman by L. Hansmann and Lenz Kriss-Rettenbeck (Munich 1965). One should keep in mind the talismanic iconography and magical-religious use of cameos and Gnostic gems which were studied in great depth in the 18th century by Ch. W. King (The Gnostics and Their Remains Ancient and Mediaeval London 1864). These engraved Gnostic stones which influenced Eastern Roman coins show bizarre figures that shouldn’t be confused with the world of the grotesque though at times the chaotic backdrop (orgiastic) would seem similar: figures with the head of a rooster a serpent swallowing its own tail a youth with a bull characters with the head of a donkey carrying a sword and shield a head from which snakes are springing a lion-headed serpent grasshoppers on the haunches of a goat an owl between a three-pronged lightning bolt and an eagle a crab holding the moon between its pincers a chicken with the head of a lamb a man encircled by a snake a man seated in a boat between the crescent moon and the sun-star an amphora with heads of wheat rising out of it a man with weapons and two heads a boat with a pair of winged genies (one at the helm and the other fishing) a man with a whip and a gleaming crown etc. Some of the images allude to initiation rites (the boat with the genies) to the Mithraic cult (the youth with the bull or the snake-ridden head) or to reminiscences of the Egyptian religion (abnormal creatures). Others are original compositions like that of the crab which in the 16th century continued to be used as a sign for printers and publishers. The symbolic meaning here as in all talismans or amulets depends on the represented elements so each one must be “read” as a stand-alone object.
TAROT PACK,Present-day psychology has confirmed the conclusions of Eliphas Lévi Marc Haven and Oswald Wirth that the Tarot cards comprise an image (comparable to that encountered in dreams) of the path of initiation (56). At the same time Jung’s view coinciding with the secular intuitive approach to the Tarot enigmas recognizes the portrayal of two different but complementary struggles in the life of man: (a) the struggle against others (the solar way) which he pursues through his social position and calling; and (b) against himself (the lunar way) involving the process of individuation. These two ways correspond to reflexion and intuition—to practical reason and pure reason. A person of lunar temperament first creates then studies and verifies what he already knew; the man of solar temperament studies first and then produces. These two approaches also correspond up to a point to the concepts of introversion (which is lunar) and extraversion (which is solar)—or to contemplation and action (34). The complete pack of cards known by the name of Tarocco is made up of 22 major enigmas with images that together comprise a synthesis and up to a point an entity; and 56 minor images incorporating 14 figures in four series: gold—corresponding to the English “diamonds”—bearing figures of circles disks and wheels; clubs (maces and sceptres); swords (“spades”); and goblets (“hearts”). The gold suit symbolizes the material forces the club the power of command the goblet sacrifice and the sword discernment and the meting out of justice. The 22 major cards correspond to the letters of the Hebrew alphabet. Included in each of the suits of the minor cards are the King the Dame (Queen) the Knight (Horse) and the Knave ( Jack) (48). These suits have been equated with the powers that reign on earth and in consequence with the controlling or higher professions as follows: government with clubs; the military career with spades (swords); the priest-hood with goblets; intellectual activity with gold—for all forms of treasure are always symbolic of the riches of the spirit and the mind (54). According to Saunier the images of the major enigmas derive from the symbolic paintings in the Egyptian Books of Thoth-Hermes representing the knowledge of the universe (49). However Oswald Wirth whose interpretations of the symbolism of the Tarot we shall in the main follow points out that archaeology has never unearthed the least trace of anything that might conceivably be an Egyptian Arabic or Graeco-Arabic Tarot pack. But he indicates that the Cabbala must have been well known to the authors of the Tarot because they fixed the number of major enigmas at 22 which is the same as the number of letters in the Hebrew alphabet every one of them pregnant with symbolism and the same also as the number of the teraphim the hieroglyphs used by the Hebrews in divination. Wirth arguing from the fact that Italy was undeniably the first country to develop playing-cards maintains that these allegorical images grew up in that country. The earliest representation known to us of the major enigmas dates from 1392. To quote Eliphas Lévi: “The Tarot is a monumental and singular work simple and strong as the architecture of the pyramids and in consequence as durable; it is a book which is the sum of all the sciences and whose infinite permutations are capable of solving all problems; a book which informs by making one think; it is perhaps the greatest masterpiece of the human mind and certainly one of the most beautiful things handed down by Antiquity.” The 22 mysteries are: I The Minstrel; II The Archpriestess; III The Empress; IV The Emperor; V The Archpriest; VI The Lover; VII The Chariot; VIII Justice; IX The Hermit; X The Wheel of Fortune; XI Strength; XII The Hanged Man; XIII Death; XIV Temperance; XV The Devil; XVI The Tower Struck by Lightning; XVII The Stars; XVIII The Moon; XIX The Sun; XX The Judgement; XXI The World; XXII or 0 The Fool. The cards from I to XI comprise the solar way—active conscious reflective and autonomous. Cards XII to XXII denote the lunar way—passive unconscious intuitive and “possessed.” We cannot here explain the relationships which can be drawn or the patterns of meanings which can be derived from these relationships without going beyond the bounds of strict symbolism; an examination of the particular meaning of each card will be found under its appropriate heading. Nevertheless we will quote the broadest meanings of these 22 enigmas suggested by Eliphas Lévi: I signifies The Being the spirit creation; II sanctuary the law knowledge woman the mother the church; III the Word fecundity generation in all three worlds; IV the door initiation power the cubic stone or its base; V information proof philosophy and religion; VI enmeshment union antagonism equilibrium combination; VII the weapon the sword triumph and majesty; VIII the scales attraction and repulsion the path or way promise and threat; IX good morality wisdom; X manifestation fecundity the paternal sceptre; XI the hand in the act of taking and sustaining; XII an example teaching a public lesson; XIII domination and strength rebirth creation and destruction; XIV the seasons the flux and flow of life always different yet always the same; XV magic eloquence commerce mystery; XVI sudden subversion weakness; XVII effusion of thought the moral influence of the idea upon forms immortality; XVIII the Elements the visible world reflected light material forms symbolism; XIX the head the summit the prince of heaven; XX vegetation the generative virtues of the soil; XXI the senses the vehicle the body transitory life; XXII the microcosm the sum of All-in-All. Each of these images comprises a fusion of certain ideas relative to the outer and inner worlds disposed according to the forms and patterns of the mind. The intention is to create by means of these images an order more comprehensive even than that comprising the twelve divisions of the Zodiac and to design a wheel which would embody all the archetypal potentialities of the existence and evolution of mankind.
TATTOOING,Tattooing and ornamentation may be regarded as falling within one generic symbolic group for both are expressions of cosmic activity. But since tattoos are applied to the body other important meanings accrue to it—sacrifice the mystical and magical. E. Gobert in Notes sur les tatouages des indigènes Tunisiens suggests that tattooing is connected with the Arabic proverb “blood has flowed the danger has passed.” Since sacrifice has the power to store up latent forces which later may be made use of each sacrifice tends to invert a given situation. A mystic purpose lies at the root of the mark or sign of identification: he who brands himself seeks to display his allegiance to that which is signified by the mark. (Lovers’ marks carved on tree-trunks and initials and heart-shapes pricked out on the skin are clear illustrations of this.) In the last analysis the attitude of allegiance is reversed: the sign is expected to “reciprocate” this display of sacrifice and subservience on the part of the individual who has so marked himself; and this is the magic property of the tattoo as a defensive talisman. Apart from these three meanings of the tattoo ethnologists have noted two others: it may serve as a sign designating sex tribe and social status (v. Robert Lowie’s Cultural Anthropology) in which case it is simply a profane version of the mystic symbolism; and also as a personal adornment. This latter purpose seems to us over-simplified but we cannot go into the matter here. In particular tattooing is a “rite of entry” or of initiation which alludes to the turning-points in the span of a man’s life and in the development of his personality. Cola has pointed out that some of the most ancient monuments of prehistory in particular those of Egypt suggest that tattooing was practised in ancient times for the priestess of the goddess Hathor displayed three lines on her lower belly. He also enumerates the principal techniques of tattooing: incision stitching wounding by cutting or burning and pseudo-tattoos or paintings on the face or body (in which case the motives are the same although the effect is transitory). Among primitive races the principal forms of tattoos are as follows: stripes dots combinations of both or numbers expressed through either chains knots and rosettes crosses stars triangles rhombs circles combinations of any two or more of these and also highly stylized anthropomorphic figures either complete or fragmentary (just the limbs) etc. Cola also notes that tattoos have been used in imitative magic. For instance: the tattooed figure of a scorpion is credited with the power of warding off the actual scorpion’s sting; and the image of a bull is a guarantee of numerous progeny (12).
TAURUS,The second sign of the Zodiac expresses the evolutionary force of Aries—that is the spring-time pugnacity of the ram—in an intensified form. It also denotes the functions of fecundation and creation in both aspects victorious and sacrificial—related that is to the primordial sacrifice; an example of this is the myth of Mithras “for out of his body grow all the plants and herbs that adorn the earth with verdure and from his seed spring all the animal species” (Cumont Les Mystères de Mithra). This basic idea of the bull as the force which animates forms of all kinds is deeply rooted in a great many myths. At the same time the fact that the sign of Taurus corresponds to the number two relates it to the principle of duality composed of the masculine (Viraj or Yang) and the feminine (Vac or Yin). There is also a morphological relationship between the bull on account of its head and horns and the waxing and waning aspects of the moon which is further evidence of the bull’s symbolic function of invigoration at least in the sublunary sphere. The sign of Taurus governs the throat and voice and is in turn dominated by Venus (40).
TEETH,According to Allendy teeth are the primigenial weapons of attack and an expression of activity. Loss of one’s teeth then signifies fear of castration or of complete failure in life or inhibition (56); it represents an attitude which is the inversion of that of the Primitive who according to the findings of anthropology commonly adorned himself with the teeth and claws of conquered animals. Some interpretations underline the significance of teeth in respect of the sexual aspect of energy. But of greater importance is the Gnostic concept—for which we are indebted to Leisegang’s Die Gnosis—in which the teeth constitute the battlements the wall and the fortifications of the inner man from the material or energetic point of view just as the eyes and the glance are the defence of the spirit. This explains the negative symbolism of the loss or fracture of the teeth.
TEMPERANCE,The fourteenth enigma of the Tarot pack this card contains the image of a winged being clad in a red tunic and a cloak with a lining of greenish-blue who is pouring water out of a silver vessel into a golden one. In itself this hermaphroditic—or gynandrous—figure has a favourable significance since it is expressive of the coniunctio oppositorum. The act of pouring denotes the transformation of water as it passes from the lunar order (of silver) to the solar order (of gold) that is from the world of transient forms and of feeling to the world of fixed forms and of reason; the water here is that of the “Upper Ocean”—or vital fluid. The virtue of temperance is expressed then as what comes by way of a constant endeavour towards spiritual metamorphosis in which the passion of excess is sublimated by psychic and creative potential. The virtue is personified as a winged spirit which ratifies the significance of its action. Astrologically temperance is related with Aquarius possibly sharing an association with Indra lord of purification in Hindu doctrine. The spirit of temperance carries an emblem of the Sun on its forehead suggesting a circle that has a central point. The allegory signifies discernment. This enigma suggests universal life and ceaseless circulation through formation regeneration and purification (59).
TEMPLE,"The word “temple” derives from the root tem—“to divide.” Etruscan soothsayers made a division of the heavens by means of two straight lines intersecting at a point directly above the head the point of intersection being a projection of the notion of the “Centre,” and the lines representing the two “directions” of the plane; the north-south line was called cardo and the east-west decumanus. Phenomena were interpreted according to their situation within this division of space. Hence the earthly temple is seen as an image of the celestial temple and its basic structure is determined by considerations of order and orientation (7). The temple affords a particular and additional meaning to the generic symbolism of architectonic structures. Broadly speaking it is the mystic significance of the “Centre” which prevails; the temple and in particular the altar being identified with the symbol of the mountain-top as the focal point of the intersection of the two worlds of heaven and earth. Solomon’s temple according to Philo and Flavius Josephus was a figurative representation of the cosmos and its interior was disposed accordingly: the incense table signified thanksgiving; the seven-branched candelabra stood for the seven planetary heavens; the holy table represented the terrestrial order. In addition to this the twelve loaves of bread corresponded to the twelve months of the year. The Ark of the Covenant symbolizes the intelligibles (14). Romanesque Gothic and Renaissance architects each in their own way sought to imitate this superior archetype. For example between 1596 and 1604 imaginary reconstructions of the Temple of Solomon appeared in various works published in Rome and based upon holy writ and the illustrations they contained deeply influenced the architects of the period. Another fundamental significance of the temple derives from its being a synthesis of the various symbols for the world-axis such as the hollow mountain steps and the sacrificial mountain-peak mentioned above. In certain astrobiological cultures the temple or altar is in fact built upon an artificial mountain—the teocalli of Mexico is an example. A more advanced concept can be seen in the architectural portrayal of those essential elements of the inner pattern of the universe founded upon the numbers three seven ten and twelve in particular. Seven is basic to the representation of the planets and their derived symbolisms and hence the Mesopotamian temple-mountains—or ziggurats—were constructed after the fashion of a seven-terraced pyramid. Each of the terraces was dedicate to a particular planet. The Babylonian ziggurat known as Etemenanki (“the house of the seven directions of heaven and earth”) was built of crude bricks overlaid with others that had been fired. A tablet in the Louvre records that in plan it measured 2,200 feet long by 1,200 wide. The first level was black in colour and dedicated to Saturn the second orange-coloured and sacred to Jupiter the third red and consecrated to Mars the fourth golden and sacred to the Sun the fifth yellow (to Venus) the sixth blue (to Mercury) the seventh silver (to the Moon) (39). This order is not always observed for sometimes the Moon is situated in the sixth heaven and the Sun in the seventh (17). Berthelot however suggests that the ziggurat not only embraces the mystic aspects of the Mountain and the Centre (by virtue of its mass and situation) and of Steps (because of its shape) but also constitutes an image of paradise since vegetation appears to flourish on its terraces (7). The origins of this type of structure are Sumerian (7) and examples are to be found in Egypt India China and pre-Columbian America. Eliade in confirming this adds that the climb to the top of the Mesopotamian or of the Hindu temple-mountain was equivalent to an ecstatic journey to the “Centre” of the world; once the traveller has reached the topmost terrace he breaks free from the laws of level transcends profane space and enters a region of purity (18). It is hardly necessary to observe that climbing mountains implies ultimately the same mystic tendency as can be seen in the fact that mountain heights are the chosen abode of the recluse. And the favourable symbolic significance of the goat derives solely from his predilection for heights. Another important example of the temple-mountain a product of Hindu culture comes from Indo-China—the temple of Borobudur built in the centre of the island of Java in the 8th century of our era. Basically it consists of four levels of square-shaped galleries with four more circular platforms on top surmounted by an enclosed belvedere. In form then it is similar to the Egyptian ziggurat or in the Khmer language a Phnom signifying a temple-mountain comparable with Meru the Hindu Olympus. Four flights of steps up the centre of each pyramid face lead directly from the base to the top. It would appear that the profoundest meaning attached to this temple is of a supernatural character. Its name—Borobudur—signifies “the seat of secret revelation.” All graduated edifices such as steps concern the symbolism of discontinuous spiritual evolution that is the separate but progressive stages of evolution (6). At the same time the ground-plan of the Borobudur temple is diagrammatically a true yantra and its various square and round-shaped levels constitute a mandala related to the symbolism of “squaring the circle” (6). The symbolic structure of the Greek temple is fundamentally the same as that of the lake-dwelling: that is it symbolizes the intercommunication between the Three Worlds—the Lower (represented by the water and the piles on the one hand and earth and the subterranean part on the other) the Terrestrial (the base and columns) and the Upper (suggested by the pediment). Christian cathedrals are related less to the macrocosm than to the microcosm the human figure being depicted in terms of the apse (representing the head) the cross and transepts (the arms) the nave and side aisles (the body) and the altar (the heart). In the Gothic temple the upward sweep the vital rôle of the vertical axis—and indeed the structure as a whole—embrace the idea of the temple-mountain with its implied synthesis of the symbolism of both macrocosm and microcosm. According to Schneider the two towers usually placed at the western face correspond to the twin-peaked “mountain of Mars” in primitive megalithic cultures (and linked with the Gemini myth) while the cimborrio over the transept is expressive of a higher synthesis an image of heaven. Both the synthesis and the crux of the matter are established by Gershom G. Scholem in Les Origines de la Kabbale (Paris 1966). He recalls that God lives in his reason or that God is the absolute Reason and logos of the world and that the temple “is the house” or abode of God and thus identifies temple with reason."
TENT,"In the Egyptian system of hieroglyphs this is a determinative sign relating to that division of the soul which is known as “body of glory” and which surrounds the spirit like a tent (19). Deriving from this hieroglyph is the broad symbolic meaning of the tent as something which “envelops.” In our view this symbolism is closely connected with the symbolisms of weaving and of clothes. For the Greeks the physical world—and space itself—were “the vestments of the gods,” or in other words comparable with the tent as something which envelops and hides them from sight. To tear aside the temple-veil or to rend one’s garments represents a desperate attempt to achieve by force of analogy the tearing aside of the veil that enshrouds the mystery of the other world. Berthelot suggests two other symbolic meanings of the tent: one related to its function as a nomadic dwelling and the other arising from the mystic significance of the desert (7)."
TERNARY,The ternary system is created by the emergence of a third (latent) element which so modifies the binary situation as to impart to it a dynamic equilibrium. As Jung has observed Plotinus with his characteristic combination of philosophical precision and poetic allusiveness compared Oneness (the creative principle) with light intellect with the sun and the world-soul with the moon. Unity is split internally into three “moments”—the active the passive and the union or outcome of these two (31). Undoubtedly the vital human significance of the number three and the ternary embraces the multi-secular origins of biological evolution. The existence of two (father and mother) must almost inevitably be followed by three (the son) (42). As Lao-Tse says: “One engenders two two engenders three three engenders all things” (58). Hence three has the power to resolve the conflict posed by dualism; it is also the harmonic resolution of the impact of unity upon duality. It symbolizes the creation of spirit out of matter of the active out of the passive (55). Besides the triangle there are a number of symbols relevant to the ternary since in a sense it may be said to be the “inner structure of unity.” Hence many infernal beings that are base counterparts of the ternary are three-headed like Cerberus or Hecate or else wield three-pronged weapons such as the trident. The notion of the “three suns”— the East the zenith and the West—is related to this symbolism and according to Dontenville the form of the tripod is derived from it. If the number four has been found the most fitting “model” to symbolize exterior or situational quantitative values three has proved itself the number attached to the interior or vertical order of things. Hence disposed in accordance with the essential points pertaining to the symbolism of level—the high the middle and the low—it comes to be related to the “Three Worlds” (the celestial terrestrial and infernal) in turn closely connected with the three-part division of man into spirit (the impalpable or the mind) the soul (sentiments) and body (the instincts) and with the moral categories of the good the indifferent and the bad. There are some writers who analyse the ternary structure of man in terms of intuition (or moral light) thought (intellectual light) and instinct (animal light) (54). Also corresponding to this division modified by the influence of a particular ruling force are the well-known stages of mystic perfection: the unitive illuminative and purgative; in alchemy these stages are symbolized by the colours red white and black. In Hindu thought the three levels are termed sattva (the highest state or that of the predominance of the spirit) rajas (the intermediate dynamic and transforming state) and tamas (the instinctive or inferior state). Eliade suggests that the image of the three levels as three cosmic divisions carved out by moral precepts and diffused by human thought is very ancient for it is present among the pigmies of the Semang tribe in Malaya and among other races at the very earliest stage of cultural development (18). In Ireland this idea is symbolized by a three-storied tower (4). For Diel the essential functions of man are three in number: conservation reproduction and spiritualization and the deformation or perversion of these three functions is represented by the three traditional “enemies” of the soul—the world the flesh and the devil in turn representing the inversion of the three theological Virtues. Guénon dealing with the “three worlds” described by Dante in the Commedia suggests the following interesting ternary correspondences: Sattva rajas and tamas related respectively to the sky the atmosphere and the earth’s surface or interior; to the future the present and the past; and to the superconscious the conscious and the unconscious (27).
TERRESTRIAL SPHERE,The Northern Hemisphere is considered to be light taking the positive principle of Yang; and the south shadow or Yin. This is why cultural movements tend to move from north to south (40) between hemispheres.
TETRACHORD,According to Schneider the tetrachord do re mi fa may be regarded in the mystic sense as the mediator between heaven and earth; while the tetrachord sol la ti do could be taken to represent the divine order. The common note—do—relates the symbol to the eagle (of the tetramorphs) (50).
TETRAMORPHS,"This is an illustration of the quaternary principle linked with the concept of situation (just as the ternary is connected with that of activity) and with the intuitive sense of spatial order. It is to the Christian tetramorphs with their synthesis of the four symbols of the Evangelists that we are bound to look for the purest and truest expression of this ancient and universal idea. Megalithic culture possibly reflecting some obscure tradition of remote antiquity was given to expressing the struggle of the gods against the monsters that from the beginnings of creation sought to devour the sun. When they formed the cosmos out of chaos the gods in order to safeguard what they had created placed the lion on the celestial mountain and posted four archers (at the Cardinal Points) to ensure that none might disrupt the cosmic order (50). This proves that the four Cardinal Points besides representing the extremities of the four horizontal Directions of Space (which since they pertain to the earth as the zone of manifestation denote the superficial and the tangible whereas the nadir and the zenith relate to heaven) may also denote autonomous spatial zones as worlds in themselves. This idea is expressed in graphic symbolism by those forms of crosses whose four limbs are rounded (to imply circular motion) or hammer-headed. These personified autonomous zones may take on a beneficent or a malign character. As a defence against the latter influence stand the four archers already mentioned. In the tetramorphs the beneficent aspects of the spatial “order” are all equidistant from the “Centre.” Schneider relates the animals of the tetramorph to the notes of the tetrachord. The relatively common habit of dividing a country into four provinces implies the same basic idea. Ireland used to be called the “Island of the Four Kings,” these Kings corresponding to four regions with a fifth in the centre where the High King reigned like the Pantokrator among the four symbols. This analogy vividly expresses the strength and cohesion of a spatial order derived intuitively according to Jung from spiritual and psychological principles and modelled either upon three or upon four depending upon whether those principles pertain to the notions of activity and inner structure or to passivity and situation. This pattern is completed by the number five: four plus the central point sometimes denoted by a circle or almond-shaped mandorla; or else by the number seven: four outside and three inside. This scheme finds expression in a great many monuments designed upon the basis of a square walled-in space with three towers in the centre—the Escorial for instance. Before coming back to the Christian tetramorphs let us consider some comments of Schneider about the quaternary order in China: “In the Ta-tai-li the philosopher Tsêng-tse distinguished as was the custom four animals destined for the service of a saint; two of these animals (those covered with hair and feathers) proceed from Yin (the feminine and passive principle) and two others are depicted bearing a hide a cuirass or scales. In this way they clearly reflect the four Elements (with the ‘Centre’ corresponding to the quintessence or the spirit)—air fire water and earth. Another four-part grouping of animals is to be found in Sumerian art composed of a lion an eagle and a peacock mounted on the back of an ox. The Book of the Dead on the other hand mentions a group of three beings with the heads of animals and a fourth being with a long-eared human head (like the heads in some Romanesque paintings). Likewise Ezekiel’s vision contains the lion the eagle the ox and man. Oriental iconography must have had a great influence upon Ezekiel’s vision—and Egyptian images must have been specially influential. The four mystic beings in Christian tradition are usually the lion the eagle the ox and the (winged) man. A 4th-century mosaic in the apse of Santa Pudenziana in Rome groups them in pairs on either side of the crucifix. Biblical illustrations do not always follow the order laid down in the holy writ. St. Jerome suggested the following correspondences: the lion corresponding to resurrection the eagle to ascension the man to incarnation the ox to passion. By comparing the four-part grouping of ancient Mesopotamia (of the lion the eagle the ox and the peacock) with that of Ezekiel (the lion eagle ox and man) we arrive at the equation peacock = Man” (50). According to Chochod the equivalent Chinese animals afford the following correspondences: the dragon corresponding to the lion the unicorn to the bull the turtle to Man the phoenix to the eagle (13). The spatial arrangement set out in Ezekiel (i 10) is: the lion on the right with the man above him the ox on the left and above him the eagle (50). Applying the principles of spatial symbolism whereby psychologically speaking the superior is always a sublimation of the inferior and the right side invariably appertains to the consciousness while the left side concerns the unconscious we arrive at the conclusion that the winged man is the sublimation of the lion and the eagle of the ox. In esoteric thought the four beings can be interpreted symbologically as follows: the eagle is air intelligence and action; the lion is fire strength and movement; the ox is earth labour forbearance and sacrifice; and the winged man is an angel symbolizing the intuitive knowledge of truth. According to Lévi certain “disciples of Socrates” substituted the cock for the eagle; the horse for the lion; the sheep for the ox (the latter substitution being explained by the proximity of the two zodiacal signs of Aries and Taurus while that of the cock for the eagle would follow from the aerial character of both animals) (37 59). Correspondences such as these we repeat are not identical relationships but analogies—that is close affinities or relationships between component elements of separate “series,” resulting from their analogous situation within the series. Consequently all the various meanings attributed to the tetramorphs help to suggest the range of their allusions as well as the complex mechanism governing the pattern of their properties. In Christian symbolism the symbolic associations of the four Evangelists (as the archers defending truth and the order of Christ—the “Centre”) are: Matthew the winged man; Mark the lion; Luke the ox; John the eagle (49)."
TEXTURE,The symbolism of texture has received scant attention nor has it even been recognized as a problem. But certain trends of contemporary art indicate that the material quality of a work of art or the relationship between the apparent surface—space—and the surface proper—the inter-relationship of points in space—is once again being accorded that recognition it formerly enjoyed in ornamental and even in figurative art. We may see in texture two essential component elements: one that produces a pattern of lateral concurrences and one which so to speak thrusts upwards. The first—the lateral—factor gives rise to features which are sometimes pre-formal—nascent symbolic forms only to be glimpsed after careful study related to the paradoxical “informal forms” (symbolic blots klexographies paper-transfers and so on) to the so-called “buried symbolism” of some works of art—which has been seen as a kind of infra-configuration produced by the play of light and shade by the brush-strokes or by the background patterns—and associated also with the symbolism of composition in so far as this creates an effect of perspective. But texture proper is determined by the quality and thickness of the impasto of the material and by the structure of this material as it is understood in mineralogy producing textures which are caked or fibrillar or pearlitic or porous or cellular and so on. Broadly speaking textures may be divided into the hard and smooth and the soft and porous. Since the impression of smoothness (or continuity) is increased in proportion to the distance from which it is viewed all smooth textures may be regarded as symbolic of remoteness and by analogy of cold colours. Conversely porous textures symbolize nearness and warm colours expressing a greater degree of inner dynamism in the material and in the corresponding tactile sensation. More detailed conclusions than the above could be educed only after a closer study of the problem of texture.
THEATRE,An image of the world of phenomena for both the theatre and the world are “stages.” Guénon has noted that the theatre is not limited to representing the terrestrial world alone: in the Middle Ages it stood for both this world and the next. The author symbolizes the demiurge; the actors stand in relation to their parts as the Jungian Selbst stands to the personality (29).
